aBVersion,businessId,categoryType,childrenSightList,commentCount,commentScore,coordinate,coverImageUrl,crawlDistrictId,crawlDistrictName,detailUrl,detailUrlInfo,displayField,distanceStr,districtId,districtName,dynamicCoverImageUrl,extendInfo,extendMap,feedBackId,hasVideo,heatScore,isAdvertisement,isCircuml,isFree,isFromFavor,isInsertPoi,isRecommend,marketDiscountPrice,marketPrice,newHotInfo,openStatus,otherTagList,poiId,poiName,poiType,preferentialDesc,preferentialPrice,price,priceTagList,priceType,priceTypeDesc,redLevel,relativePosition,shortFeatures,sightCategoryInfo,sightLevelStr,tagNameList,timestamp,underlineDiscountPrice,underlinedPrice,zoneName
H,736,annual,[],157573,4.8,"{""coordinateType"": ""BD09"", ""latitude"": 31.23855, ""longitude"": 121.499319}",https://dimg04.c-ctrip.com/images/10040m000000dht6p0F19.jpg,2,上海,https://you.ctrip.com/sight/shanghai2/736.html?scene=online,"{""type"": 502, ""originalUrl"": ""https://you.ctrip.com/sight/shanghai2/736.html?scene=online"", ""url"": ""https://you.ctrip.com/sight/shanghai2/736.html?scene=online""}",外滩核心区,距市中心1.8km,2,上海,https://dimg04.c-ctrip.com/images/10040m000000dht6p0F19_W_480_0_Q80.jpg,,"[{""key"": ""HOT_SCORE_POS_ABVERSION"", ""value"": ""B""}]",0,True,10,False,False,True,False,False,False,,,,,,75611,外滩,3,,,,,4,免费,,1,"[""欣赏万国建筑和浦江美景""]",2026全球100必打卡景点,,"[""遛娃宝藏地"", ""城市漫步""]",1764395132239,,,外滩核心区
H,1412255,annual,[],279842,4.7,"{""coordinateType"": ""BD09"", ""latitude"": 31.146785, ""longitude"": 121.667662}",https://dimg04.c-ctrip.com/images/1lo0g12000puo4sqbC1DA.png,2,上海,https://you.ctrip.com/sight/shanghai2/1412255.html?scene=online,"{""type"": 502, ""originalUrl"": ""https://you.ctrip.com/sight/shanghai2/1412255.html?scene=online"", ""url"": ""https://you.ctrip.com/sight/shanghai2/1412255.html?scene=online""}",迪士尼度假区,距市中心20.5km,2,上海,https://dimg04.c-ctrip.com/images/1lo0g12000puo4sqbC1DA_W_480_0_Q80.jpg,,"[{""key"": ""HOT_SCORE_POS_ABVERSION"", ""value"": ""B""}]",0,True,10,False,False,False,False,False,False,,0.0,"{""detailUrl"": ""https://you.ctrip.com/sight/shanghai2/1412255.html?scene=online"", ""iconUrl"": ""https://pages.ctrip.com/you/ttd/sightDetail/sight_more_detail/notnewevent_logo.png"", ""name"": ""上海迪士尼圣诞奇妙夜限时开启""}",,"[{""type"": ""booking"", ""name"": ""随买随用"", ""code"": ""ReadyToUse""}, {""type"": ""booking"", ""name"": ""可订今日"", ""code"": ""TodayCanBook""}]",13412802,上海迪士尼度假区,3,已减,0.0,399.0,[],2,门票,,2,"[""充满欢乐童真的梦幻乐园""]",2026全球100必打卡景点,,"[""嗨玩乐园"", ""遛娃宝藏地""]",1764395132239,,,迪士尼度假区
H,762,annual,[],173725,4.7,"{""coordinateType"": ""BD09"", ""latitude"": 31.245414, ""longitude"": 121.506379}",https://dimg04.c-ctrip.com/images/1lo7412000isn0jrbD500.jpg,2,上海,https://you.ctrip.com/sight/shanghai2/762.html?scene=online,"{""type"": 502, ""originalUrl"": ""https://you.ctrip.com/sight/shanghai2/762.html?scene=online"", ""url"": ""https://you.ctrip.com/sight/shanghai2/762.html?scene=online""}",陆家嘴,距市中心2.7km,2,上海,https://dimg04.c-ctrip.com/images/1lo7412000isn0jrbD500_W_480_0_Q80.jpg,,"[{""key"": ""HOT_SCORE_POS_ABVERSION"", ""value"": ""B""}]",0,True,8.6,False,False,False,False,False,False,,199.0,"{""detailUrl"": ""https://you.ctrip.com/sight/shanghai2/762.html?scene=online"", ""iconUrl"": ""https://pages.ctrip.com/you/ttd/sightDetail/sight_more_detail/notnewevent_logo.png"", ""name"": ""MOJO HAPPY WORLD之主题限定餐厅来啦！""}",,"[{""type"": ""booking"", ""name"": ""随买随用"", ""code"": ""ReadyToUse""}, {""type"": ""booking"", ""name"": ""可订今日"", ""code"": ""TodayCanBook""}]",75627,东方明珠,3,已减,0.0,199.0,[],2,门票,,3,"[""360度欣赏申城的地标""]",2026全球100夜游必打卡景点,5A,"[""遛娃宝藏地"", ""地标观景""]",1764395132239,,,陆家嘴
H,4651499,annual,[],51230,4.6,"{""coordinateType"": ""BD09"", ""latitude"": 30.91932, ""longitude"": 121.912107}",https://dimg04.c-ctrip.com/images/1lo3a12000pndhlci64CE.jpg,2,上海,https://you.ctrip.com/sight/shanghai2/4651499.html?scene=online,"{""type"": 502, ""originalUrl"": ""https://you.ctrip.com/sight/shanghai2/4651499.html?scene=online"", ""url"": ""https://you.ctrip.com/sight/shanghai2/4651499.html?scene=online""}",滴水湖临港地区,距市中心54.3km,2,上海,https://dimg04.c-ctrip.com/images/1lo3a12000pndhlci64CE_W_480_0_Q80.jpg,,"[{""key"": ""HOT_SCORE_POS_ABVERSION"", ""value"": ""B""}]",0,True,8.3,False,False,False,False,False,False,230.0,299.0,"{""detailUrl"": ""https://you.ctrip.com/sight/shanghai2/4651499.html?scene=online"", ""iconUrl"": ""https://pages.ctrip.com/you/ttd/sightDetail/sight_more_detail/notnewevent_logo.png"", ""name"": ""海昌7周年庆典，11月生日狂欢特惠""}",,"[{""type"": ""booking"", ""name"": ""随买随用"", ""code"": ""ReadyToUse""}, {""type"": ""booking"", ""name"": ""可订今日"", ""code"": ""TodayCanBook""}, {""type"": ""booking"", ""name"": ""随时退"", ""code"": ""RefundAtAnyTime""}]",52075446,上海海昌海洋公园,3,已减,0.0,69.0,"[{""type"": ""price"", ""name"": ""携程优惠"", ""code"": ""MarketPriceTag""}]",2,门票,,4,"[""看珍稀海洋生物玩刺激项目""]",2026全球100亲子景点,4A,"[""亲近动物"", ""嗨玩乐园""]",1764395132239,230.0,299.0,滴水湖临港地区
H,740,,[],51480,4.7,"{""coordinateType"": ""BD09"", ""latitude"": 31.232745, ""longitude"": 121.498966}",https://dimg04.c-ctrip.com/images/0103v12000f9ug057967E.jpg,2,上海,https://you.ctrip.com/sight/shanghai2/740.html?scene=online,"{""type"": 502, ""originalUrl"": ""https://you.ctrip.com/sight/shanghai2/740.html?scene=online"", ""url"": ""https://you.ctrip.com/sight/shanghai2/740.html?scene=online""}",豫园地区,距市中心1.8km,2,上海,https://dimg04.c-ctrip.com/images/0103v12000f9ug057967E_W_480_0_Q80.jpg,,"[{""key"": ""HOT_SCORE_POS_ABVERSION"", ""value"": ""B""}]",0,True,8.2,False,False,False,False,False,False,,0.0,"{""detailUrl"": ""https://you.ctrip.com/sight/shanghai2/740.html?scene=online"", ""iconUrl"": ""https://pages.ctrip.com/you/ttd/sightDetail/sight_more_detail/notnewevent_logo.png"", ""name"": ""豫园城市非遗季启幕，一个月文化盛宴玩转中国非遗""}",,"[{""type"": ""booking"", ""name"": ""随买随用"", ""code"": ""ReadyToUse""}, {""type"": ""booking"", ""name"": ""可订今日"", ""code"": ""TodayCanBook""}, {""type"": ""booking"", ""name"": ""随时退"", ""code"": ""RefundAtAnyTime""}]",75615,豫园,3,已减,0.0,30.0,[],2,门票,,5,"[""留存完好的百年古典园林""]",,4A,"[""遛娃宝藏地"", ""园林花园""]",1764395132239,,,豫园地区
H,3733,annual,[],9412,4.6,"{""coordinateType"": ""BD09"", ""latitude"": 31.23419, ""longitude"": 121.482126}",https://dimg04.c-ctrip.com/images/0103x1200042pw7745DC1.jpg,2,上海,https://you.ctrip.com/sight/shanghai2/3733.html?scene=online,"{""type"": 502, ""originalUrl"": ""https://you.ctrip.com/sight/shanghai2/3733.html?scene=online"", ""url"": ""https://you.ctrip.com/sight/shanghai2/3733.html?scene=online""}",人民广场地区,距市中心296m,2,上海,https://dimg04.c-ctrip.com/images/0103x1200042pw7745DC1_W_480_0_Q80.jpg,,"[{""key"": ""HOT_SCORE_POS_ABVERSION"", ""value"": ""B""}]",0,False,8.2,False,False,True,False,False,False,,,"{""detailUrl"": ""https://you.ctrip.com/sight/shanghai2/3733.html?scene=online"", ""iconUrl"": ""https://pages.ctrip.com/you/ttd/sightDetail/sight_more_detail/notnewevent_logo.png"", ""name"": ""上海博物馆藏历代扇面书画名品展启幕""}",,,76144,上海博物馆,3,,,,,4,免费,,6,"[""蜚声中外的知名博物馆""]",2026全球100亲子景点,4A,"[""博物馆"", ""博物馆&展馆""]",1764395132239,,,人民广场地区
H,1815444,,[],3713,4.8,"{""coordinateType"": ""BD09"", ""latitude"": 31.24278, ""longitude"": 121.509072}",https://dimg04.c-ctrip.com/images/100f1d000001enrubAD5E.jpg,2,上海,https://you.ctrip.com/sight/shanghai2/1815444.html?scene=online,"{""type"": 502, ""originalUrl"": ""https://you.ctrip.com/sight/shanghai2/1815444.html?scene=online"", ""url"": ""https://you.ctrip.com/sight/shanghai2/1815444.html?scene=online""}",陆家嘴,距市中心2.8km,2,上海,https://dimg04.c-ctrip.com/images/100f1d000001enrubAD5E_W_480_0_Q80.jpg,,"[{""key"": ""HOT_SCORE_POS_ABVERSION"", ""value"": ""B""}]",0,True,8.1,False,False,True,False,False,False,,,,,,24302219,陆家嘴,3,,,,,4,免费,,7,"[""举世闻名的金融中心""]",上海夜游必打卡景点榜 No.2,,"[""城市漫步"", ""夜游观景""]",1764395132239,,,陆家嘴
H,758,annual,[],121615,4.7,"{""coordinateType"": ""BD09"", ""latitude"": 31.061207, ""longitude"": 121.727964}",https://dimg04.c-ctrip.com/images/1lo6512000pev5hbpB09B.jpg,2,上海,https://you.ctrip.com/sight/shanghai2/758.html?scene=online,"{""type"": 502, ""originalUrl"": ""https://you.ctrip.com/sight/shanghai2/758.html?scene=online"", ""url"": ""https://you.ctrip.com/sight/shanghai2/758.html?scene=online""}",南汇/野生动物园,距市中心30.6km,2,上海,https://dimg04.c-ctrip.com/images/1lo6512000pev5hbpB09B_W_480_0_Q80.jpg,,"[{""key"": ""HOT_SCORE_POS_ABVERSION"", ""value"": ""B""}]",0,False,8.1,False,False,False,False,False,False,36.0,165.0,"{""detailUrl"": ""https://you.ctrip.com/sight/shanghai2/758.html?scene=online"", ""iconUrl"": ""https://pages.ctrip.com/you/ttd/sightDetail/sight_more_detail/notnewevent_logo.png"", ""name"": ""野生动物园30周年庆典限时优惠狂欢""}",,"[{""type"": ""booking"", ""name"": ""随买随用"", ""code"": ""ReadyToUse""}, {""type"": ""booking"", ""name"": ""可订今日"", ""code"": ""TodayCanBook""}, {""type"": ""booking"", ""name"": ""随时退"", ""code"": ""RefundAtAnyTime""}]",75624,上海野生动物园,3,已减,0.0,129.0,"[{""type"": ""price"", ""name"": ""携程优惠"", ""code"": ""MarketPriceTag""}]",2,门票,,8,"[""与世界各地动物亲密接触""]",2026亚洲100亲子景点,5A,"[""亲近动物"", ""遛娃宝藏地""]",1764395132239,36.0,165.0,南汇/野生动物园
H,69572753,annual,[],7523,4.9,"{""coordinateType"": ""BD09"", ""latitude"": 30.919028, ""longitude"": 121.933171}",https://dimg04.c-ctrip.com/images/01069120009ze52fdA92D.jpg,2,上海,https://you.ctrip.com/sight/shanghai2/69572753.html?scene=online,"{""type"": 502, ""originalUrl"": ""https://you.ctrip.com/sight/shanghai2/69572753.html?scene=online"", ""url"": ""https://you.ctrip.com/sight/shanghai2/69572753.html?scene=online""}",滴水湖临港地区,距市中心55.8km,2,上海,https://dimg04.c-ctrip.com/images/01069120009ze52fdA92D_W_480_0_Q80.jpg,,"[{""key"": ""HOT_SCORE_POS_ABVERSION"", ""value"": ""B""}]",0,False,7.9,False,False,False,False,False,False,,30.0,,,,69572753,上海天文馆,3,,,,,3,门市价,,9,,2026亚洲100亲子景点,,"[""天文馆"", ""博物馆&展馆""]",1764395132239,,,滴水湖临港地区
H,18722,annual,,48079,4.7,"{""coordinateType"": ""BD09"", ""latitude"": 31.246392, ""longitude"": 121.508574}",https://dimg04.c-ctrip.com/images/1lo6e12000hsutu2eF00B.jpg,2,上海,https://you.ctrip.com/sight/shanghai2/18722.html?scene=online,"{""type"": 502, ""originalUrl"": ""https://you.ctrip.com/sight/shanghai2/18722.html?scene=online"", ""url"": ""https://you.ctrip.com/sight/shanghai2/18722.html?scene=online""}",陆家嘴,距市中心2.9km,2,上海,https://dimg04.c-ctrip.com/images/1lo6e12000hsutu2eF00B_W_480_0_Q80.jpg,,"[{""key"": ""HOT_SCORE_POS_ABVERSION"", ""value"": ""B""}]",0,True,7.9,False,False,False,False,False,False,5.0,160.0,"{""detailUrl"": ""https://you.ctrip.com/sight/shanghai2/18722.html?scene=online"", ""iconUrl"": ""https://pages.ctrip.com/you/ttd/sightDetail/sight_more_detail/notnewevent_logo.png"", ""name"": ""上海海洋水族馆科普展活动开启""}",,"[{""type"": ""booking"", ""name"": ""随买随用"", ""code"": ""ReadyToUse""}, {""type"": ""booking"", ""name"": ""可订今日"", ""code"": ""TodayCanBook""}, {""type"": ""booking"", ""name"": ""随时退"", ""code"": ""RefundAtAnyTime""}]",80473,上海海洋水族馆,3,已减,0.0,155.0,"[{""type"": ""price"", ""name"": ""携程优惠"", ""code"": ""MarketPriceTag""}]",2,门票,,10,"[""漫步海底隧道观赏海洋生物""]",2026亚洲100亲子景点,4A,"[""亲近动物"", ""遛娃宝藏地""]",1764395132239,5.0,160.0,陆家嘴
